dates,cyclist_type,avg_ride_length,total_riders
12/1/2021,casual,29.46960716,2760
12/1/2021,member,10.25078788,9769
12/2/2021,casual,22.20345068,3994
12/2/2021,member,11.15689108,11183
12/3/2021,casual,18.44617532,4175
12/3/2021,member,10.62276851,9696
12/4/2021,casual,21.6714626,4434
12/4/2021,member,11.35485424,7759
12/5/2021,casual,22.18278322,1637
12/5/2021,member,11.69869268,3290
12/6/2021,casual,18.63434514,1482
12/6/2021,member,9.925203951,6282
12/7/2021,casual,11.58391824,1310
12/7/2021,member,9.168436342,6177
12/8/2021,casual,21.86504306,1920
12/8/2021,member,9.551155049,7429
12/9/2021,casual,14.26015076,2581
12/9/2021,member,10.28217969,8295
12/10/2021,casual,21.87488519,2111
12/10/2021,member,10.41817049,6061
12/11/2021,casual,20.59974994,3070
12/11/2021,member,12.22010339,5528
12/12/2021,casual,32.59505885,3154
12/12/2021,member,12.02946608,5866
12/13/2021,casual,21.68052003,2447
12/13/2021,member,11.58378986,7515
12/14/2021,casual,25.74902333,2663
12/14/2021,member,11.75105331,8526
12/15/2021,casual,18.21838283,3311
12/15/2021,member,11.34191852,8889
12/16/2021,casual,21.34890791,2412
12/16/2021,member,11.09795284,7076
12/17/2021,casual,18.0911156,2527
12/17/2021,member,10.9519723,6531
12/18/2021,casual,17.02390844,2039
12/18/2021,member,11.3065999,4265
12/19/2021,casual,30.00213435,2069
12/19/2021,member,12.06310122,3955
12/20/2021,casual,23.09269445,2229
12/20/2021,member,10.68584233,5360
12/21/2021,casual,21.6103946,1629
12/21/2021,member,10.65480919,5250
12/22/2021,casual,22.62012545,1272
12/22/2021,member,10.37973848,4020
12/23/2021,casual,34.32284021,1779
12/23/2021,member,11.13120624,4318
12/24/2021,casual,25.31817627,1744
12/24/2021,member,11.87763411,3062
12/25/2021,casual,37.05993495,1545
12/25/2021,member,14.75163559,1518
12/26/2021,casual,30.85680584,1577
12/26/2021,member,11.97613604,2288
12/27/2021,casual,33.25096324,1574
12/27/2021,member,11.18124466,3328
12/28/2021,casual,32.47601847,638
12/28/2021,member,11.66161997,2193
12/29/2021,casual,24.81390012,1440
12/29/2021,member,10.89757751,3929
12/30/2021,casual,23.89343733,1821
12/30/2021,member,11.2303122,4309
12/31/2021,casual,29.40798128,2393
12/31/2021,member,11.72702353,4134
1/1/2022,casual,70.55727407,1086
1/1/2022,member,13.01908914,1479
1/2/2022,casual,31.34720114,536
1/2/2022,member,13.77478123,1526
1/3/2022,casual,22.19956188,533
1/3/2022,member,11.79529175,2602
1/4/2022,casual,15.6249383,679
1/4/2022,member,12.97034399,3698
1/5/2022,casual,19.99532823,421
1/5/2022,member,13.46340689,2301
1/6/2022,casual,87.28650557,394
1/6/2022,member,11.55103031,2458
1/7/2022,casual,18.11038153,419
1/7/2022,member,11.95087162,2007
1/8/2022,casual,30.51106786,518
1/8/2022,member,12.30041514,2086
1/9/2022,casual,24.2518299,428
1/9/2022,member,12.70366158,1684
1/10/2022,casual,32.81013369,398
1/10/2022,member,13.18534525,2286
1/11/2022,casual,18.6143199,483
1/11/2022,member,12.05182932,3088
1/12/2022,casual,43.46635158,1059
1/12/2022,member,11.02764438,4676
1/13/2022,casual,31.95889488,1053
1/13/2022,member,10.72584076,4934
1/14/2022,casual,32.00610721,936
1/14/2022,member,11.13894985,3988
1/15/2022,casual,21.67070347,772
1/15/2022,member,13.6571035,2379
1/16/2022,casual,24.48564101,816
1/16/2022,member,10.7773225,2540
1/17/2022,casual,38.86513703,643
1/17/2022,member,10.45315686,3009
1/18/2022,casual,19.12680124,939
1/18/2022,member,10.86368558,4831
1/19/2022,casual,40.08235833,684
1/19/2022,member,11.11460958,4076
1/20/2022,casual,17.69462335,558
1/20/2022,member,13.67506517,3308
1/21/2022,casual,15.58382499,813
1/21/2022,member,10.92482255,3764
1/22/2022,casual,25.96375056,926
1/22/2022,member,10.85374664,3167
1/23/2022,casual,37.80874621,242
1/23/2022,member,14.2604822,1202
1/24/2022,casual,27.19791633,248
1/24/2022,member,12.75290801,1553
1/25/2022,casual,30.53697349,293
1/25/2022,member,13.67900277,2140
1/26/2022,casual,20.4367404,225
1/26/2022,member,12.02299813,1732
1/27/2022,casual,22.7344503,537
1/27/2022,member,10.94301155,3308
1/28/2022,casual,34.68795629,292
1/28/2022,member,16.26064086,1596
1/29/2022,casual,22.14504749,488
1/29/2022,member,13.06976234,1868
1/30/2022,casual,21.33792138,494
1/30/2022,member,15.28547039,2043
1/31/2022,casual,19.20460495,608
1/31/2022,member,10.49609859,3922
2/1/2022,casual,22.21895291,656
2/1/2022,member,10.72100157,4029
2/2/2022,casual,18.99173196,127
2/2/2022,member,18.36501702,576
2/3/2022,casual,37.43773417,231
2/3/2022,member,15.05408754,1692
2/4/2022,casual,21.45505431,488
2/4/2022,member,13.90894624,2215
2/5/2022,casual,17.45649046,398
2/5/2022,member,13.68940939,1728
2/6/2022,casual,51.70288363,497
2/6/2022,member,12.70456993,2137
2/7/2022,casual,21.8815123,476
2/7/2022,member,11.7451026,3206
2/8/2022,casual,42.698843,634
2/8/2022,member,13.69720511,4139
2/9/2022,casual,27.59669489,817
2/9/2022,member,10.78708086,4656
2/10/2022,casual,28.44206534,731
2/10/2022,member,10.88477193,4274
2/11/2022,casual,21.76862189,1125
2/11/2022,member,11.24729686,4483
2/12/2022,casual,19.56338727,737
2/12/2022,member,10.57461126,2639
2/13/2022,casual,45.93003038,651
2/13/2022,member,10.89013474,2443
2/14/2022,casual,22.08981174,674
2/14/2022,member,10.49564266,3787
2/15/2022,casual,22.40378103,930
2/15/2022,member,10.77864156,4899
2/16/2022,casual,19.59123331,943
2/16/2022,member,10.68355687,4988
2/17/2022,casual,19.5779023,356
2/17/2022,member,10.30748312,2216
2/18/2022,casual,21.3745011,468
